time	V(amp_out)	V(bp_out)	V(ecg)	V(rb_out)
0.000000000000000e+000	1.883587e-003	4.869395e-003	0.000000e+000	2.575967e-003
1.253990382818126e-004	1.719511e-003	4.849385e-003	1.282832e-007	2.412280e-003
2.507980765636252e-004	1.555234e-003	4.812871e-003	2.565664e-007	2.248476e-003
3.761971148454377e-004	1.390757e-003	4.759855e-003	3.848496e-007	2.084555e-003
5.015961531272503e-004	1.226079e-003	4.690337e-003	5.131329e-007	1.920516e-003
6.269951914090630e-004	1.061200e-003	4.604316e-003	6.414161e-007	1.756360e-003
7.523942296908755e-004	8.961203e-004	4.501792e-003	7.696993e-007	1.592087e-003
8.777932679726879e-004	7.308397e-004	4.382766e-003	8.979825e-007	1.427696e-003
1.608306395572866e-003	-1.051819e-004	3.693191e-003	1.645297e-006	5.985646e-004
2.267313083612400e-003	-6.778131e-004	3.068793e-003	2.319461e-006	3.361691e-005
3.069966939854529e-003	-1.097433e-003	2.428571e-003	3.140576e-006	-3.760619e-004
3.532327235620891e-003	-1.183433e-003	2.164752e-003	3.613571e-006	-4.567790e-004
3.788886708618350e-003	-1.151717e-003	2.080327e-003	3.876031e-006	-4.226416e-004
4.107218913245906e-003	-1.037944e-003	2.039388e-003	4.201685e-006	-3.065920e-004
4.394567911629175e-003	-8.707275e-004	2.060600e-003	4.495643e-006	-1.381299e-004
4.787586382430914e-003	-5.284681e-004	2.196329e-003	4.897701e-006	2.041041e-004
5.424168647076046e-003	2.686759e-004	2.657557e-003	5.548924e-006	9.966122e-004
6.400731147076046e-003	1.916393e-003	3.819156e-003	6.547948e-006	2.627357e-003
7.377293647076046e-003	3.948267e-003	5.445194e-003	7.546972e-006	4.630753e-003
8.353856147076046e-003	6.214204e-003	7.438167e-003	8.545995e-006	6.857814e-003
9.330418647076046e-003	8.501739e-003	9.606604e-003	9.545019e-006	9.100509e-003
1.009765625000000e-002	1.020115e-002	1.132512e-002	1.032536e-005	1.076352e-002
1.068359375000000e-002	1.124913e-002	1.250432e-002	1.089753e-005	1.178735e-002
1.146484375000000e-002	1.240165e-002	1.389463e-002	1.166042e-005	1.291374e-002
1.206693327413771e-002	1.304720e-002	1.477575e-002	1.224836e-005	1.354602e-002
1.270090602862576e-002	1.341027e-002	1.543388e-002	1.286743e-005	1.390550e-002
1.307701835438027e-002	1.347729e-002	1.568853e-002	1.323471e-005	1.397592e-002
1.368671713634131e-002	1.335179e-002	1.587345e-002	1.383008e-005	1.386552e-002
1.465772799273758e-002	1.273024e-002	1.572763e-002	1.477827e-005	1.328685e-002
1.563429049273758e-002	1.171295e-002	1.512013e-002	1.573188e-005	1.233248e-002
1.661085299273758e-002	1.044482e-002	1.413771e-002	1.668550e-005	1.114286e-002
1.758741549273758e-002	9.159707e-003	1.297393e-002	1.763911e-005	9.942017e-003
1.856397799273758e-002	8.094482e-003	1.184637e-002	1.859272e-005	8.954975e-003
